epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,231.161,1.64814,0.98368,1,0.06485,0.000235796,0.000235796,0.000235796
2,455.655,0.2976,0.94406,1,0.11008,0.00042689,0.00042689,0.00042689
3,698.946,0.23652,1,1,0.00349,0.000570861,0.000570861,0.000570861
4,940.761,0.20862,0.99767,1,0.01288,0.000501942,0.000501942,0.000501942
5,1181.41,0.17672,0.99534,1,0.01319,0.000431256,0.000431256,0.000431256
6,1416.44,0.12663,1,1,0.0015,0.00036057,0.00036057,0.00036057
7,1648.39,0.10351,1,1,0.00495,0.000289884,0.000289884,0.000289884
8,1878.36,0.08433,1,1,0.00048,0.000219198,0.000219198,0.000219198
9,2112.93,0.08785,1,1,0.00137,0.000148512,0.000148512,0.000148512
10,2343.59,0.05984,1,1,0.0007,7.7826e-05,7.7826e-05,7.7826e-05
