epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,246.636,1.63467,0.97203,0.99767,0.09469,0.000235796,0.000235796,0.000235796
2,484.096,0.30182,0.99068,1,0.03475,0.000450343,0.000450343,0.000450343
3,740.965,0.25452,1,1,0.00621,0.000641328,0.000641328,0.000641328
4,976.044,0.23948,1,1,0.00608,0.000607971,0.000607971,0.000607971
5,1224.4,0.15913,0.99767,1,0.01393,0.000572628,0.000572628,0.000572628
6,1470.93,0.15593,0.99767,1,0.00743,0.000537285,0.000537285,0.000537285
7,1716.67,0.12018,1,1,0.00133,0.000501942,0.000501942,0.000501942
8,1956.07,0.13797,0.99767,1,0.00192,0.000466599,0.000466599,0.000466599
9,2188.71,0.0957,1,1,0.00102,0.000431256,0.000431256,0.000431256
10,2413.82,0.07492,1,1,0.00161,0.000395913,0.000395913,0.000395913
11,2634.5,0.06116,1,1,0.00127,0.00036057,0.00036057,0.00036057
12,2854.11,0.08588,1,1,0.00212,0.000325227,0.000325227,0.000325227
13,3074.57,0.08132,1,1,0.00043,0.000289884,0.000289884,0.000289884
14,3294.65,0.08359,1,1,0.00146,0.000254541,0.000254541,0.000254541
15,3517.54,0.0599,1,1,0.00268,0.000219198,0.000219198,0.000219198
16,3769.84,0.06151,1,1,0.0033,0.000183855,0.000183855,0.000183855
17,4037.54,0.06552,1,1,0.00076,0.000148512,0.000148512,0.000148512
18,4284.46,0.03992,1,1,0.00116,0.000113169,0.000113169,0.000113169
19,4534.76,0.06839,1,1,0.00111,7.7826e-05,7.7826e-05,7.7826e-05
20,4777.66,0.03483,1,1,0.00116,4.2483e-05,4.2483e-05,4.2483e-05
